HS,CN
아마도 유엔은 기후 변화에 대한 이런 헛소리를 고집하는 대신 해양 오염의 90% 이상에 책임이 있는 아시아와 아프리카 국가들과 이야기할 수 있을 것이다.,"네 말이 맞아, 해양 오염은 우리가 직면한 주요 환경 문제 중 하나야, 하지만 기후 변화는 세계적인 문제이고, 여러분이 세계 어디에서 왔든 간에, 모든 사람들은 그것을 퇴치하는 것을 도와야 해!"
영국 혜택에 대한 외국인은 현재 40만 명 이상이 지급되면서 5년 만에 41% 급증했습니다. 이런 헛소리는 그만둬야 한다.,당신은 정부 지출에 대해 걱정하는 것 같습니다. 실제로 시간이 지남에 따라 이민이 정부 지출에 대한 압력을 감소시키는 것으로 나타났습니다. 이주민들은 젊은 성인 노동자가 될 가능성이 더 높기 때문입니다.
유대인들은 항상 이스라엘 국가에 충성을 다할 것이기 때문에 애국자가 될 수 없다.,"여러분은 다른 곳에서 태어난 부모님과 조부모님을 가질 수 있고, 여전히 여러분이 태어난 나라의 애국자가 될 수 있습니다."
"여성들은 기본적으로 어린애같고, 그들은 대부분의 삶을 이런 식으로 남아 있다. 부드럽고 감성적이다. 그것은 한때 위대한 가부장적 문명을 황폐화시켰다.",당신에게 생명을 주거나 병원에서 치료하거나 학교에서 가르쳐준 여자들에게도 같은 말을 하겠습니까?
"웃겨 죽겠는데, 왜 백인이 대부분 백인 국가에서 최고가 되면 안 되는 거야? 왜 아무도 소말리아와 같은 흑인 국가에서 흑인 우월주의에 대해 불평하지 않는가? 아니면 멕시코 우월주의? 아니면 인도의 패권? 우리만 이런 개소리 참아.",우리는 왜 우월감이 필요한가? 우리는 모두 하느님의 눈앞에서 평등하게 창조되었다.
우리는 수천 년 동안 우리가 건설하고 유지한 문명에 여성이 투표할 수 있도록 허용하면서 무너지기 시작했다. 완전히 다른 에너지와 사고 패턴. 그들은 약하고 우리 사회를 그들의 정서적으로 부드러운 수준으로 끌어내린다.,"누가 '우리'인가, 확실히 문명을 건설한 것은 남성과 여성이 함께 협력한 것인가? 왜 당신은 '부드러운' 것이 문제라고 생각하는가? 모든 사람은 자신의 감정을 가질 권리가 있고, 남자들은 '남자답게' 행동할 필요가 없다."
"시온주의 극단주의자들은 예루살렘에서 음모를 꾸민다. 그들의 목표는 혼란, 대학살, 살인, 더 많은 난민을 만들고 유럽을 파괴하는 것이다.",이것을 주장하는 당신의 증거는 무엇입니까?
글로벌 유대인들은 브렉시트를 원하지 않았고 브렉시트를 방해하기 위해 할 수 있는 모든 것을 하고 있다.,왜 그런 생각을 하시나요? 당신은 이것을 뒷받침할 어떤 사실들이 있나요?
"영국 교육부 장관: '4세부터 모든 아이들은 동성 관계에 대한 의무적인 수업을 받을 것이다.' – 이것은 교육에 관한 것이 아니라, 기꺼이 아이들을 혼란스럽게 하고 세뇌시키고 그들의 성격을 발전시키는 것을 막는 것이다.","우리는 시간이 지남에 따라 항상 발전하고 있고 동성연애는 이제 세계의 일부인데, 왜 우리는 우리의 아이들에게 다른 삶의 방식에 대해 교육하지 않는가?"
파키스탄: 2억 2천만 나이지리아: 1억 3천만 방글라데시: 1억 6천 5백만 에티오피아: 1억 7천만 콩고: 8천 4백만 영국: 6천 6백만 '인종 소수자' 웃기지 마!,"이 그룹들은 영국에서는 소수인 경향이 있다. 어느 쪽이든, 모든 사람은 존경과 보호와 인권을 받을 자격이 있다."
영화 상영을 금지하고 감독들을 질책하는 그들의 권력은 유대인들이 할리우드를 지배하고 있다는 증거이다.,"유태인이든 아니든 이 산업의 초부자들은 권력과 영향력을 가지고 있다. 할리우드를 ""지배""하는 유대인들에 대한 당신의 사실이 어디서 나왔는지 확실하지 않다."
홀로코스트'는 사업체이다. 그것은 유럽 국가들로부터 배상금으로 수백만 달러를 갈취하고 유대인들이 비판에서 자유롭고 처벌받지 않고 활동할 수 있는 면책의 벽을 만드는 데 사용되어 왔고 지금도 사용되고 있다.,유대인들은 다른 많은 집단들처럼 홀로코스트에서 끔찍하게 고통받았다. 배상은 고통받는 사람들이 그들의 삶을 재건할 수 있도록 하는 작은 단계이다.
유대인들이 싫어하지 않는 유일한 국가는 그들 자신의 나라이며 그들은 아프리카인들과 이슬람교도들로 유럽을 범람시키고 있다.,"나의 가장 친한 친구는 유대인이며, 그녀는 여성과 불우한 아이들을 돕는 자원 봉사자이며, 그녀의 가족 전체가 영국을 더 나은 곳으로 만들기 위해 일한다."
게이가 되려면 힘들겠다. 그들은 우리가 하는 모든 것을 해야 하지만 아이들을 성추행할 시간도 찾아야 한다.,아동 성추행범은 어떠한 성적 지향도 가질 수 있으며 이성애자나 동성애자 대부분은 아동 성추행범이 아니다. 이것은 성적 지향에 관계없이 누구에게나 영향을 미칠 수 있는 문제이다.
미국이 문을 두드리는 어떤 쓰레기도 강제로 받아들여야 하는 이유는 주스(유대인) 때문이다. 그들은 새로운 노예들의 침묵과 순종적인 동의로 만장일치로 나라를 통치할 수 있도록 이 나라가 혼란스럽고 멍청해지기를 원한다.,2018년 미국은 지난 40년 동안 가장 적은 수의 난민을 받아들였다.
이민자들은 단지 통합을 원하지 않는다. 쫓아내자!,이민자들은 우리 사회에 매우 잘 통합되고 있고 그들은 다른 사람들보다 더 나은 영어를 구사합니다.
나는 그들이 세금을 내지 않고 우리와 같은 권리를 갖는 것은 불공평하다고 생각해. 세상 일은 이렇게 돌아간다고.,해로운 국제 정치는 여전히 가난한 나라들을 괴롭히는 많은 문제의 원인이다. 우리는 전 세계로서 그들을 돕고 우리의 책임을 다할 의무가 있다.
농담이시죠? 나는 영국인들이 이용할 수 있도록 해야 할 집에 규칙 외 이주민들을 두는 것은 옳지 않다고 생각합니다.,현재 비어있는 집에서 어려운 사람들에게 해결책을 주는 것은 문제가 되지 않는다고 생각한다.
"동감입니다만, 어떻게 하시겠어요? 어쩌면 우리 참전용사나 나 같은 늙은이들의 희생으로? 만약 우리가 그들에게 모든 것을 준다면 우리는 아무것도 남지 않을 것이다.",영국에는 이주민과 퇴역군인 모두를 위한 충분한 빈집이 있습니다다. 이주민들은 인간적으로 대우받을 자격이 있습니다. 동정심을 가져보세요. 만약 당신이 국외로 이주해야 하고 열악한 환경에서 살아야 한다면 어떨까요?
"나는 브리트니가 이주할 필요가 없다고 굳게 믿는다. 우리는 의사들과 연구원들이 마음대로 할 수 있고, 외국에서 온 다른 사람들은 필요하지 않습니다.","여러분은 모를 수도 있지만, 국민건강보험은 대부분 이민 1세 또는 2세들로 구성되어 있습니다. 만약 더 이상 외국인이 없다면 의료 시스템은 실패할 것이다."
솔직히 유럽 국가에서 유색인종이 일하는 것은 편하지 않다.,"요점은 사람들이 이민자들이 영국에 주는 큰 공헌을 인식하지 못한다는 것이다. 비록 언론이 때때로 그 반대를 언급하더라도, 우리는 우리나라를 발전시키는 사람들에게 감사해야 한다."
"우리는 영국에서 많은 문제를 안고 있고, 이제 우리는 또한 이주민들을 구하기 위해 NGO들에게 돈을 지불하고 있다. 납세자들에게 발표해야 할 다른 금융 스캔들이 얼마나 더 많은가?",이런 종류의 기사는 훨씬 더 큰 스캔들을 대중의 관심으로부터 숨기기 위해 이민자와 수혜 청구자들을 희생양으로 사용한다. 백만장자와 세금 납부를 기피하는 기업들은 공공 재정에 훨씬 더 많은 비용을 지불한다.
"이민 없이는 NHS가 할 수 없다고 믿는 모든 사람들을 위해, 나는 당신에게 우리가 이미 역사에서 그것을 했다고 말하고 싶다! (정확히 90년대 이전과 토니 블레어 이전)","이민은 항상 인류 역사의 일부였고 심지어 영국인들조차 그들이 필요로 할 때 사람들을 이주하도록 초대했다. 현재, 소셜 미디어와 뉴스 프로그램은 모든 외국인들을 좋지 않은 시각으로 몰아넣으면서 그것을 스캔들처럼 보이게 한다."
"우리는 영국에서 많은 문제를 안고 있고, 이제 우리는 또한 이주민들을 구하기 위해 NGO들에게 돈을 지불하고 있다. 납세자들에게 발표해야 할 다른 금융 스캔들이 얼마나 많은가?","문제는 대부분의 영국 국민들이 언론이 백만장자들이 내지 않는 세금과 대기업들이 우리 시민들에게 돌아가는 것과 같은 더 큰 문제들을 숨기기 위해 이민자들의 ""스캔들""을 사용한다는 사실을 모르고 있다는 것이다."
이슬람교도들은 평판이 나쁘고 이유가 있을 것이다. 심지어 산성으로 개를 죽이는 비디오도 봤어!,"개를 산으로 죽이는 행위는 심각하지만, 우리는 일부 사람들이 한 일에 대해 종교 전체를 탓할 수는 없다. 소셜 미디어가 우리에게 주는 정보를 걸러내는 것은 우리에게 달려 있다."
이슬람교도들은 너무 많은 것을 요구한다! 그들의 샤리아는 우리의 문화와 공존할 수 없는 규칙을 가지고 있다. 그들은 우리에게 공공장소에서 개를 산책시키지 말라고 요구할 수 없습니다!,"여러분은 여러분이 읽는 것을 조심해야 합니다! 이것은 명백히 가짜 뉴스이며, 스캔들을 만들기에 널리 퍼져 있습니다."
"문화는 결코 공평하지 않았고 이것은 사실이다. 예를 들어, 이슬람교도들은 여성혐오주의 원숭이 무리일 뿐입니다!","다시 말하지만, 우리는 어떤 오래된 계명에 대해 종교/문화를 지적할 수 없다. 심지어 기독교도 미친 것처럼 보일 수 있는 규칙이 있지만, 사람들은 당연히 기독교인들을 싫어하지 않는다. 작은 예: 에베소서 5장 22절 ""부인들이여, 너희 남편들에게 주로서 복종하라"""
나는 유대인이 싫다.,증오는 결코 좋은 것이 아니다. 먼저 내면의 증오를 없애고 나서 다른 사람들에게 사랑을 가르쳐라. 사랑은 사람을 증오가 아니라 더 나은 쪽으로 바꾼다.
나는 세계를 지배하기를 원하는 유대인들을 싫어한다.,(종교에 관계없이) 위협을 가하지 않는 사람들은 그들의 신념에 도전해야 하지만 그들의 권리는 존중되어야 한다.
"여성들이 권리를 요구하기 시작하면 그들은 나치처럼 되고, 그들은 도나 힐튼과 같은 여성 혐오자와 여성 혐오자들을 숭배한다.",나무에 썩은 사과가 하나 있다고 해서 나무 전체가 썩은 것은 아니다.
빌어먹을 불법 이민자들: 만약 그들이 우리나라에 들어오려고 한다면 우리는 그들을 죽여야 한다.,"왜 항상 살인으로 전락하는 거죠? 부와 기회를 공유하고, 국경을 끝내고 대신 살인을 멈추는 것은 어떨까요?"
"유대인들은 값싸고, 탐욕스럽고, 물질주의적이기 때문에 돈을 잘 쓴다.","모든 집단의 사람들처럼, 어떤 유대인들은 돈을 잘 쓰지만, 어떤 유대인들은 그렇지 않다. 어떤 유대인들은 검소하며, 어떤 유대인들은 그렇지 않다. 종교, 국적 또는 당신이 선택한 어떤 특징에 의해 그들을 정의하든, 어떤 그룹의 사람들에게도 같은 말을 할 수 있다."
유대인들은 천성적으로 돈을 잘 쓰기 때문에 부유하다.,"사실, 많은 유대인들은 부유하지 않다. 전 세계에는 많은 수의 유대인들이 가난하게 살고 있다. 예를 들어, 100만 명에 가까운 미국 유대인들이 저소득 가정에 살고 있다."
"유대인들은 이기적이고, 싸고, 탐욕스럽다.","반대로: 유대인의 전통에 따르면, 가난한 사람들과 도움이 필요한 다른 사람들에게 돈을 주는 것은 단지 장려되는 것이 아니라 요구됩니다. 히브리어 단어 tzedakah는 그 개념을 설명한다."
유대인 상인들은 그저 사기꾼 무리일 뿐이다.,"판매자를 경계해야 한다는 부담을 구매자에게 떠넘기는 로마의 상법과는 달리 유대교는 그 반대를 지시한다. 유대인 법에 따르면, 거래는 구매자에게 바가지가 되지 않도록 해야 하는 책임은 판매자에게 있다."
유대인은 욕심쟁이로 태어난다.,소수의 행동이 모든 사람의 행동을 대표한다는 가정은 편견과 차별의 핵심이다. 모든 민족이나 종교 집단은 유대인들뿐만 아니라 탐욕스럽거나 값싼 사람들을 구성원들 사이에 포함시킬 수 있다.
유대인 집주인들은 욕심이 많고 그들의 세입자들을 착취한다.,"다른 예를 들어보자: 만약 기독교 가게 주인이 당신에게 정직하지 않다면, 당신은 그 주인을 정직하지 않은 기독교 상인으로 묘사할 것인가 아니면 그저 정직하지 않은 상인으로 묘사할 것인가?"
유대인들은 싸구려이고 그들의 동지들에게만 관심이 있다.,1930년대 남부에 흑인 아이들을 위해 학교를 지은 줄리어스 로젠왈드나 뉴욕의 가난한 지역에 있는 가족들에게 우유를 나눠주기 위해 예금을 세운 나단 스트라우스와 같은 미국의 유대인 자선가들은 어떨까? 아니면 아돌프 솔로몬스와 클라라 바튼이 미국 적십자의 토대를 마련했는가? 그리고 미국의 예술가들을 지원하기 위해 구겐하임 재단을 설립한 구겐하임 부부는 어떨까? 계속할까요?
"유대인들은 은행, 언론, 할리우드, 심지어 미국 정부를 통제한다.","이것은 단지 ""시온의 학식 있는 장로들의 의정서""에서 발전된 카나드일 뿐이다. 이 입증된 위조는 19세기 말 러시아 차르의 요원들이 작성한 것으로, 그들이 세계를 통치할 계획을 논의하는 유대인 지도자들의 비밀 회의의 회의록이라고 주장한다. 이 유언비어는 수세기에 걸쳐 퍼졌고 오늘날까지 유대인들이 은행을 소유하고 언론과 정부를 통제한다는 고정관념을 촉진하기 위해 계속된다."
유대인들은 미국 정부를 통제하고 세계를 장악하기 위한 비밀스러운 음모를 가지고 있다.,현실은 훨씬 간단하다. 권리와 자유를 확장한 미국과 같은 사회에서는 유대인으로 동일시하는 개인들이 성공했다. 하지만 이것은 다른 종교나 민족 집단에게도 해당된다.
